roll, pitch, yaw, x accel, y accel, z accel
4679, -2182, -3204, 669, 769, -80
4336, -1878, -3087, 686, 789, -101
4160, -1606, -3095, 754, 829, -102
3893, -1145, -3036, 837, 868, -125
3837, -1029, -3141, 863, 913, -78
3882, -848, -2787, 862, 974, -6
3739, -726, -3021, 943, 1028, -8
3859, -314, -3245, 979, 1045, 58
3817, -260, -3488, 992, 1075, 90
3984, 84, -3599, 992, 1095, 193
4144, 298, -3865, 941, 1133, 241
4263, 744, -4036, 844, 1108, 263
4455, 893, -4425, 981, 1094, 311
4543, 1026, -4269, 827, 1101, 346
4582, 943, -4876, 827, 1069, 355
4582, 1143, -4864, 836, 1083, 378
4232, 902, -5324, 774, 1188, 389
4248, 776, -5110, 1089, 1044, 432
3903, 858, -4991, 875, 1032, 380
3600, 785, -5164, 872, 1070, 392
3151, 917, -5129, 704, 1064, 377
2955, 890, -5183, 611, 939, 320
2593, 1140, -4943, 698, 776, 296
2191, 1421, -4870, 601, 655, 264
1799, 1246, -4609, 603, 608, 185
1692, 1220, -4365, 619, 619, 91
1498, 1456, -4056, 639, 659, 60
1203, 1425, -3950, 651, 659, 46
1110, 1530, -3804, 679, 650, 19
789, 1543, -3370, 677, 610, -15
988, 1698, -3238, 654, 567, -39
1023, 1716, -3300, 637, 542, -100
1138, 1957, -3055, 644, 729, -47
